,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Kruisfontein,ZA,-34.0,24.73,59.0,83,20,1.01,few clouds
152,Egvekinot,RU,66.32,-179.17,33.89,92,17,1.81,few clouds
153,Anito,PH,12.45,125.29,79.34,86,46,3.36,scattered clouds
154,Asahi,JP,35.72,140.65,75.2,100,75,3.36,broken clouds
155,Souillac,MU,-20.52,57.52,71.6,78,40,10.29,scattered clouds
156,Longyearbyen,SJ,78.22,15.64,42.8,81,75,3.36,broken clouds
157,Champerico,GT,14.3,-91.92,87.8,66,40,11.41,scattered clouds
158,Berezovka,BY,53.72,25.5,58.42,84,61,5.28,broken clouds
159,Mandalgovi,MN,45.76,106.27,55.13,76,0,11.18,clear sky
160,Lasa,IT,46.62,10.7,64.99,93,40,3.36,scattered clouds
161,Thompson,CA,55.74,-97.86,41.0,93,90,16.11,mist
162,Broken Hill,AU,-31.95,141.43,57.2,40,5,9.17,clear sky
163,Tuatapere,NZ,-46.13,167.68,45.0,72,22,11.01,few clouds
164,Upernavik,GL,72.79,-56.15,36.75,78,98,11.21,overcast clouds
165,Okmulgee,US,35.62,-95.96,82.4,69,75,14.99,broken clouds
166,Fomboni,KM,-12.28,43.74,75.52,74,0,9.98,clear sky
167,Chokurdakh,RU,70.63,147.92,37.87,77,24,6.55,few clouds
168,Arica,CL,-18.48,-70.3,62.01,67,90,8.05,overcast clouds
169,Aswan,EG,24.09,32.91,103.98,12,17,8.68,few clouds
170,Arzgir,RU,45.37,44.22,74.82,48,100,9.82,moderate rain
171,Hithadhoo,MV,-0.6,73.08,82.13,76,93,11.05,overcast clouds
172,Moen,NO,69.13,18.61,50.0,93,75,17.22,broken clouds
173,Rochegda,RU,62.8,43.25,59.02,92,99,5.39,overcast clouds
174,Kununurra,AU,-15.77,128.73,69.8,25,92,1.12,overcast clouds
175,Norman Wells,CA,65.28,-126.83,44.6,93,75,6.93,broken clouds
176,Nanortalik,GL,60.14,-45.24,45.25,92,100,12.39,light rain
177,Antofagasta,CL,-23.65,-70.4,59.0,67,18,10.29,few clouds
178,Tawang,IN,27.58,91.87,57.27,78,96,1.39,overcast clouds
179,Mineros,BO,-17.12,-63.23,87.8,48,75,11.41,broken clouds
180,Baoning,CN,25.34,110.03,78.8,94,75,2.24,light rain
181,Grindavik,IS,63.84,-22.43,51.8,100,90,27.51,overcast clouds
182,Paris,FR,48.85,2.35,66.2,48,67,5.82,broken clouds
183,Provideniya,RU,64.38,-173.3,39.85,82,100,9.35,overcast clouds
184,Pitsunda,GE,43.16,40.34,75.2,69,75,2.24,broken clouds
185,Khuzhir,RU,53.19,107.34,52.41,84,53,5.97,broken clouds
186,Sao Filipe,CV,14.9,-24.5,78.35,77,79,9.19,broken clouds
187,Mogadishu,SO,2.04,45.34,76.98,77,10,16.67,clear sky
188,Coahuayana,MX,18.73,-103.68,75.2,83,40,2.15,scattered clouds
189,Arraial Do Cabo,BR,-22.97,-42.03,86.0,58,80,10.29,broken clouds
190,Brigantine,US,39.41,-74.36,84.0,42,1,5.82,clear sky
191,Nagorsk,RU,59.32,50.81,51.76,92,0,4.03,clear sky
192,Atuona,PF,-9.8,-139.03,78.39,74,7,22.32,clear sky
193,Tyrma,RU,50.08,132.17,54.25,93,0,1.39,clear sky
194,Hambantota,LK,6.12,81.12,75.2,100,90,4.7,heavy intensity rain
195,Rio Grande,BR,-32.03,-52.1,60.01,84,100,8.01,overcast clouds
196,Bubaque,GW,11.28,-15.83,79.99,82,31,21.07,scattered clouds
