City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Santiago,CL,2020-09-05 20:31:11,-33.46,-70.65,64.99,29,0,3.36
273,Sorong,ID,2020-09-05 20:31:12,-0.88,131.25,78.58,87,82,7.43
274,Puerto Baquerizo Moreno,EC,2020-09-05 20:31:12,-0.9,-89.6,71.6,83,75,13.87
275,Port Lincoln,AU,2020-09-05 20:31:12,-34.73,135.87,53.69,77,100,11.14
276,Sorland,NO,2020-09-05 20:31:12,67.67,12.69,53.22,89,100,13.49
277,Codrington,AU,2020-09-05 20:27:15,-38.27,141.97,41.25,93,3,8.61
278,Mantua,IT,2020-09-05 20:31:13,45.17,10.78,72.0,82,0,1.97
279,Linjiang,CN,2020-09-05 20:31:13,41.81,126.91,54.5,84,100,2.1
280,Avarua,CK,2020-09-05 20:30:55,-21.21,-159.78,73.4,73,100,9.17
281,Kisii,KE,2020-09-05 20:31:13,-0.68,34.77,71.6,78,75,1.12
282,Kurilsk,RU,2020-09-05 20:31:14,45.23,147.88,64.42,91,95,5.3
283,Kununurra,AU,2020-09-05 20:30:58,-15.77,128.73,69.8,83,75,5.82
284,Dingle,PH,2020-09-05 20:31:14,11.0,122.67,76.14,89,100,2.17
285,Itacarambi,BR,2020-09-05 20:31:14,-15.1,-44.09,80.6,31,79,5.1
286,Maceio,BR,2020-09-05 20:26:42,-9.67,-35.74,77.0,65,0,10.29
287,Merauke,ID,2020-09-05 20:31:15,-8.47,140.33,77.16,82,61,15.26
288,Penzance,GB,2020-09-05 20:31:15,50.12,-5.54,57.0,82,31,10.29
289,Viedma,AR,2020-09-05 20:26:53,-40.81,-63.0,59.0,44,5,3.0
290,Benghazi,LY,2020-09-05 20:31:15,32.12,20.07,77.11,69,0,17.13
291,Haines Junction,CA,2020-09-05 20:26:33,60.75,-137.51,56.19,46,10,1.54
292,Pareora,NZ,2020-09-05 20:31:16,-44.49,171.21,51.01,94,92,2.64
293,Suoyarvi,RU,2020-09-05 20:31:16,62.08,32.35,52.61,95,96,7.23
294,Sioux Lookout,CA,2020-09-05 20:31:16,50.1,-91.92,62.6,51,40,13.87
295,Tuatapere,NZ,2020-09-05 20:29:07,-46.13,167.68,45.0,72,64,11.01
296,Saint Simons,US,2020-09-05 20:27:57,31.14,-81.39,93.2,56,1,10.29
297,San Ramon De La Nueva Oran,AR,2020-09-05 20:31:17,-23.13,-64.33,89.01,31,9,1.99
298,Chhapar,IN,2020-09-05 20:31:17,27.82,74.4,83.39,67,89,7.16
299,Rudnogorsk,RU,2020-09-05 20:31:17,57.26,103.75,45.86,90,100,9.33
300,Libertador General San Martin,AR,2020-09-05 20:31:17,-23.81,-64.79,89.01,31,16,1.99
301,Rocha,UY,2020-09-05 20:31:18,-34.48,-54.33,48.36,71,3,6.78
302,Novaya Lyalya,RU,2020-09-05 20:31:18,59.05,60.6,45.0,94,41,4.25
303,Morondava,MG,2020-09-05 20:31:18,-20.28,44.28,68.67,70,0,4.85
